ลำดับ,Sub industry,Customer ID,Name,Class,Lat,Long,Google Maps
121,ELEC APPLIANCE,1012100,บริษัท ลัคกี้เฟลม จำกัด                                                         ,Zinc,13.650694,100.714067,"<a href=""https://www.google.com/maps?q=13.650694,100.714067""     target=""_blank"">🌐</a>"
122,SPORTSWEAR & APPAREL,1006183,บริษัท วายเคเค (ประเทศไทย) จำกัด                                                ,Zinc,13.526488,100.638033,"<a href=""https://www.google.com/maps?q=13.526488,100.638033""     target=""_blank"">🌐</a>"
123,FROZEN FOOD,1014521,บริษัท ส.ขอนแก่นฟู้ดส์                  จำกัด (มหาชน)                           ,Zinc,13.680306,100.72332,"<a href=""https://www.google.com/maps?q=13.680306,100.72332""     target=""_blank"">🌐</a>"
124,PROCESSED FOOD,1008411,บริษัท ส.ขอนแก่นฟู้ดส์                  จำกัด (มหาชน)                           ,Zinc,13.680309,100.723322,"<a href=""https://www.google.com/maps?q=13.680309,100.723322""     target=""_blank"">🌐</a>"
125,AUTOMOTIVE PARTS,1002006,บริษัท สยาม ยีเอส แบตเตอรี่ จำกัด                                               ,Zinc,13.517128,100.670267,"<a href=""https://www.google.com/maps?q=13.517128,100.670267""     target=""_blank"">🌐</a>"
126,CONSUMER PROD,1007855,บริษัท สวารอฟสกี้ แมนูแฟคเจอริ่ง        (ประเทศไทย) จำกัด                       ,Zinc,14.252382,100.590297,"<a href=""https://www.google.com/maps?q=14.252382,100.590297""     target=""_blank"">🌐</a>"
127,CONSTRUCT MAT,1002068,บริษัท สีไทยกันไซเพ้นท์ จำกัด                                                   ,Zinc,13.63312,100.614168,"<a href=""https://www.google.com/maps?q=13.63312,100.614168""     target=""_blank"">🌐</a>"
128,CAN VEGET & FRUIT,1021660,บริษัท ออฟพิมุส จำกัด                                                           ,Zinc,13.796774,100.632667,"<a href=""https://www.google.com/maps?q=13.796774,100.632667""     target=""_blank"">🌐</a>"
129,CONSUMER PROD,1028386,บริษัท ออฟฟิศเมท โลจิสติกส์ จำกัด       (คลังสุวินทวงศ์)                        ,Zinc,13.738718,100.932169,"<a href=""https://www.google.com/maps?q=13.738718,100.932169""     target=""_blank"">🌐</a>"
130,PETROLEUM&CHEMICALS,1009424,บริษัท ออโตโมทีฟ                        คอนสตรัคชั่น ซีเมนต์ จำกัด              ,Zinc,13.552251,100.66705,"<a href=""https://www.google.com/maps?q=13.552251,100.66705""     target=""_blank"">🌐</a>"
131,CONSUMER PROD,1002030,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด                                              ,Zinc,13.608326,100.648381,"<a href=""https://www.google.com/maps?q=13.608326,100.648381""     target=""_blank"">🌐</a>"
132,FURNITURE & TOYS,1034641,บริษัท อิคาโน่ (ประเทศไทย) จำกัด                                                ,Zinc,13.643873,100.679074,"<a href=""https://www.google.com/maps?q=13.643873,100.679074""     target=""_blank"">🌐</a>"
133,E_COMMERCE,1034291,บริษัท ฮาวี ลอจิสติกส์ (ประเทศไทย)      จำกัด                                   ,Zinc,13.570393,100.774153,"<a href=""https://www.google.com/maps?q=13.570393,100.774153""     target=""_blank"">🌐</a>"
134,PROCESSED FOOD,1014346,บริษัท เคซีจี คอร์ปอเรชั่น จำกัด        (มหาชน)                                 ,Zinc,13.7422849,100.6006843,"<a href=""https://www.google.com/maps?q=13.7422849,100.6006843""     target=""_blank"">🌐</a>"
135,CONSUMER PROD,1017744,บริษัท เจ มายกี้ไทย กรุ๊ป จำกัด                                                 ,Zinc,13.618177,100.804201,"<a href=""https://www.google.com/maps?q=13.618177,100.804201""     target=""_blank"">🌐</a>"
136,ELEC APPLIANCE,1008101,บริษัท เจ.เทค จำกัด                                                             ,Zinc,13.622906,100.354108,"<a href=""https://www.google.com/maps?q=13.622906,100.354108""     target=""_blank"">🌐</a>"
137,AUTOMOTIVE PARTS,1020434,บริษัท เซ็นจุ (ไทยแลนด์) จำกัด                                                  ,Zinc,13.651998,100.541827,"<a href=""https://www.google.com/maps?q=13.651998,100.541827""     target=""_blank"">🌐</a>"
138,ELEC APPLIANCE,1022670,บริษัท เทคโนพลาส อุตสาหกรรม             (ประเทศไทย) จำกัด                       ,Zinc,13.446823,101.019825,"<a href=""https://www.google.com/maps?q=13.446823,101.019825""     target=""_blank"">🌐</a>"
139,FROZEN FOOD,1027281,บริษัท เฟรชมีท ฟู้ด โปรดักส์ จำกัด                                              ,Zinc,13.808327,100.197024,"<a href=""https://www.google.com/maps?q=13.808327,100.197024""     target=""_blank"">🌐</a>"
140,MEDICAL&HEALTHCARE,1029786,บริษัท เมดิโปร (ประเทศไทย) จำกัด                                                ,Zinc,13.565478,100.776132,"<a href=""https://www.google.com/maps?q=13.565478,100.776132""     target=""_blank"">🌐</a>"
141,DAIRY PRODUCT,1029146,บริษัท เรามีฟู้ด จำกัด                                                          ,Zinc,13.602655,100.905224,"<a href=""https://www.google.com/maps?q=13.602655,100.905224""     target=""_blank"">🌐</a>"
142,CONSUMER PROD,1025941,บริษัท เวลเนสมาร์ค จำกัด                                                        ,Zinc,13.751605,100.547054,"<a href=""https://www.google.com/maps?q=13.751605,100.547054""     target=""_blank"">🌐</a>"
143,CONSUMER PROD,1012416,บริษัท เอ-พลัส ซัพพลาย จำกัด                                                    ,Zinc,13.7937102,100.8182896,"<a href=""https://www.google.com/maps?q=13.7937102,100.8182896""     target=""_blank"">🌐</a>"
144,CONSUMER PROD,1036569,บริษัท เอดีบี ซีแลนท์ จำกัด                                                     ,Zinc,13.55153533,100.6709588,"<a href=""https://www.google.com/maps?q=13.55153533,100.6709588""     target=""_blank"">🌐</a>"
145,CONSUMER PROD,1034056,บริษัท เอตัน เฮ้าส์ จำกัด                                                       ,Zinc,13.6941317,100.4833426,"<a href=""https://www.google.com/maps?q=13.6941317,100.4833426""     target=""_blank"">🌐</a>"
146,PETROLEUM&CHEMICALS,1001907,บริษัท เอสเอฟซี เอกเซลเล้นซ์ จำกัด                                              ,Zinc,13.611288,100.554614,"<a href=""https://www.google.com/maps?q=13.611288,100.554614""     target=""_blank"">🌐</a>"
147,PETROLEUM&CHEMICALS,1002066,บริษัท เอเซียเคนดี้ แมนูแฟคเจอริ่ง จำกัด                                        ,Zinc,13.552266,100.667066,"<a href=""https://www.google.com/maps?q=13.552266,100.667066""     target=""_blank"">🌐</a>"
148,FROZEN FOOD,1008694,บริษัท เอ็น.บี.แวลลูลิงค์ จำกัด                                                 ,Zinc,13.677415,100.659223,"<a href=""https://www.google.com/maps?q=13.677415,100.659223""     target=""_blank"">🌐</a>"
149,PROCESSED FOOD,1038378,บริษัท เอ็มเค เรสโตรองต์ กรุ๊ป          จำกัด (มหาชน)                           ,Zinc,13.59539015,100.7862901,"<a href=""https://www.google.com/maps?q=13.59539015,100.7862901""     target=""_blank"">🌐</a>"
150,CONSUMER PROD,1002034,บริษัท แปรงไทยแห่งแรก จำกัด                                                     ,Zinc,13.7367548,100.520554,"<a href=""https://www.google.com/maps?q=13.7367548,100.520554""     target=""_blank"">🌐</a>"
151,CONSUMER PROD,1001783,บริษัท แพคเซิร์ฟ จำกัด                                                          ,Zinc,13.768386,100.717975,"<a href=""https://www.google.com/maps?q=13.768386,100.717975""     target=""_blank"">🌐</a>"
152,PROCESSED FOOD,1027129,บริษัท แมคไทย จำกัด                                                             ,Zinc,13.59393,100.761692,"<a href=""https://www.google.com/maps?q=13.59393,100.761692""     target=""_blank"">🌐</a>"
153,RUBBERS,1013738,บริษัท แอนเซลล์(ประเทศไทย) จำกัด                                                ,Zinc,13.733684,100.785436,"<a href=""https://www.google.com/maps?q=13.733684,100.785436""     target=""_blank"">🌐</a>"
154,CONSTRUCT MAT,1011567,บริษัท แอ็ดวานซ์ สเตนเลสสตีล จำกัด                                              ,Zinc,13.557089,100.675976,"<a href=""https://www.google.com/maps?q=13.557089,100.675976""     target=""_blank"">🌐</a>"
155,DAIRY PRODUCT,1010763,บริษัท แอ๊บบอต ลาบอแรตอรีส จำกัด                                                ,Zinc,13.725532,100.544426,"<a href=""https://www.google.com/maps?q=13.725532,100.544426""     target=""_blank"">🌐</a>"
156,PROCESSED FOOD,1005373,บริษัท โกลโบ ฟู้ดส์ จำกัด                                                       ,Zinc,13.638338,100.584839,"<a href=""https://www.google.com/maps?q=13.638338,100.584839""     target=""_blank"">🌐</a>"
157,PACKAGING,1034143,บริษัท โพลีเน็ต จำกัด(มหาชน)                                                    ,Zinc,13.618836,100.812372,"<a href=""https://www.google.com/maps?q=13.618836,100.812372""     target=""_blank"">🌐</a>"
158,MEDICAL&HEALTHCARE,1001977,บริษัท โรงงานเภสัชกรรมแอตแลนติค         จำกัด                                   ,Zinc,13.696438,100.605161,"<a href=""https://www.google.com/maps?q=13.696438,100.605161""     target=""_blank"">🌐</a>"
159,AUTOMOTIVE PARTS,1002021,บริษัท ไทย เอ็นเนอร์จี สโตเรจ           เทคโนโลยี จำกัด (มหาชน)                 ,Zinc,13.546577,100.65012,"<a href=""https://www.google.com/maps?q=13.546577,100.65012""     target=""_blank"">🌐</a>"
160,PETROLEUM&CHEMICALS,1007152,บริษัท ไทย-คาโมะ จำกัด                                                          ,Zinc,13.55764893,100.7924141,"<a href=""https://www.google.com/maps?q=13.55764893,100.7924141""     target=""_blank"">🌐</a>"
161,AUTOMOTIVE PARTS,1006448,บริษัท ไทยเซเซน จำกัด                                                           ,Zinc,13.547189,100.660899,"<a href=""https://www.google.com/maps?q=13.547189,100.660899""     target=""_blank"">🌐</a>"
162,AUTOMOTIVE PARTS,1008845,บริษัท ไทยโซลเดอร์ อินดัสตรี            จำกัด                                   ,Zinc,13.652234,100.541445,"<a href=""https://www.google.com/maps?q=13.652234,100.541445""     target=""_blank"">🌐</a>"
163,ELEC APPLIANCE,1016211,บริษัท ไทยไดมอนด์แอนด์ซีบร้า            อีเล็คทริค จำกัด                        ,Zinc,13.565635,100.940615,"<a href=""https://www.google.com/maps?q=13.565635,100.940615""     target=""_blank"">🌐</a>"
164,MEDICAL&HEALTHCARE,1019061,บริษัท ไบโอเเลป จำกัด                                                           ,Zinc,13.5425883,100.663686,"<a href=""https://www.google.com/maps?q=13.5425883,100.663686""     target=""_blank"">🌐</a>"
165,CONSUMER PROD,1004595,บริษัท ไพรม์บ๊อกซ์ เอ็มเอฟจี จำกัด                                              ,Zinc,13.63002,100.689739,"<a href=""https://www.google.com/maps?q=13.63002,100.689739""     target=""_blank"">🌐</a>"
166,CONSUMER PROD,1009297,บริษัทสตาร์ริช เอ็นเตอร์ไพรส์ จำกัด                                             ,Zinc,13.727787,100.496527,"<a href=""https://www.google.com/maps?q=13.727787,100.496527""     target=""_blank"">🌐</a>"
167,CONSTRUCT MAT,1009495,บริษัทแม่น้ำสแตนเลสไวร์ จำกัด           (มหาชน)                                 ,Zinc,13.543818,100.785562,"<a href=""https://www.google.com/maps?q=13.543818,100.785562""     target=""_blank"">🌐</a>"
168,FROZEN FOOD,1002135,ห้างหุ้นส่วนจำกัด ท่าเรือมารีน          โปรดัคส์                                ,Zinc,13.580672,100.313813,"<a href=""https://www.google.com/maps?q=13.580672,100.313813""     target=""_blank"">🌐</a>"
169,PETROLEUM&CHEMICALS,1010686,ห้างหุ้นส่วนจำกัด บี.อาร์.เอส.          อินเตอร์เทรด                            ,Zinc,13.6468602,100.2499357,"<a href=""https://www.google.com/maps?q=13.6468602,100.2499357""     target=""_blank"">🌐</a>"
170,PACKAGING,891,"SIAM TOPPAN PACKAGING CO.,LTD.                                                  ",SUB-CONTRACTOR,13.553407,100.656044,"<a href=""https://www.google.com/maps?q=13.553407,100.656044""     target=""_blank"">🌐</a>"
